epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.851,2.53049,3.50541,2.61691,0.23433,0.1096,0.08237,0.02263,2.74484,6.02804,3.19555,0.0802535,0.000199459,0.000199459
2,350.825,2.45386,3.17826,2.57234,0.20081,0.20023,0.11356,0.03468,2.61549,3.33841,2.95831,0.0604525,0.000398469,0.000398469
3,521.41,2.37868,3.04665,2.49738,0.26755,0.185,0.13617,0.04157,2.58425,3.91185,2.96814,0.0406505,0.000596486,0.000596486
4,691.593,2.33381,2.92404,2.41603,0.23037,0.20789,0.14094,0.04582,2.58589,3.22097,2.86652,0.0208476,0.000793511,0.000793511
5,861.598,2.30938,2.84287,2.40183,0.2812,0.22798,0.17163,0.0571,2.47153,3.33838,2.80577,0.0010436,0.000989545,0.000989545
6,1031.43,2.28287,2.7597,2.34668,0.34195,0.29568,0.23492,0.0802,2.48932,3.07393,2.78495,0.0009876,0.0009876,0.0009876
7,1201.39,2.23229,2.68664,2.32451,0.32058,0.30702,0.24718,0.08945,2.45948,2.94998,2.78325,0.00098512,0.00098512,0.00098512
8,1371.35,2.21077,2.61119,2.27106,0.32101,0.29517,0.24454,0.08969,2.49434,3.01383,2.81119,0.00098264,0.00098264,0.00098264
9,1541.28,2.18325,2.58488,2.29346,0.29871,0.31529,0.25047,0.09529,2.49206,2.9082,2.80627,0.00098016,0.00098016,0.00098016
10,1711.24,2.17252,2.51517,2.26694,0.43618,0.35563,0.3191,0.11649,2.4623,2.85103,2.79744,0.00097768,0.00097768,0.00097768
11,1881.24,2.15964,2.49381,2.23905,0.39669,0.38237,0.3148,0.12631,2.38562,2.6974,2.7149,0.0009752,0.0009752,0.0009752
12,2051.19,2.13054,2.3866,2.20709,0.36417,0.43789,0.33645,0.13469,2.3848,2.66678,2.71838,0.00097272,0.00097272,0.00097272
13,2221.2,2.13831,2.39862,2.22749,0.50364,0.39408,0.3738,0.14649,2.38769,2.64062,2.67305,0.00097024,0.00097024,0.00097024
14,2391.07,2.09977,2.35016,2.20074,0.50359,0.40077,0.39919,0.16195,2.37963,2.62332,2.67036,0.00096776,0.00096776,0.00096776
15,2561.05,2.10457,2.32159,2.18384,0.46576,0.46207,0.39696,0.16317,2.32427,2.63932,2.62579,0.00096528,0.00096528,0.00096528
16,2731.15,2.09549,2.2942,2.18877,0.43726,0.49389,0.43169,0.18233,2.34726,2.49781,2.69186,0.0009628,0.0009628,0.0009628
17,2901.13,2.07525,2.25283,2.16482,0.4468,0.44564,0.39867,0.18058,2.26913,2.52201,2.61628,0.00096032,0.00096032,0.00096032
