epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.334,0.6589,0.37566,0.96953,0.87306,0.87816,0.91161,0.70421,0.78763,0.44193,1.22937,0.0668065,9.98801e-05,9.98801e-05
2,1035.34,0.62196,0.3347,0.94955,0.87916,0.87943,0.91048,0.7097,0.74025,0.43525,1.21555,0.0335698,0.000196509,0.000196509
3,1549.42,0.60759,0.31394,0.94389,0.87009,0.89238,0.91226,0.71471,0.73419,0.4408,1.20308,0.000319961,0.000279993,0.000279993
4,2063.16,0.58095,0.29302,0.93369,0.87672,0.88976,0.91346,0.71626,0.72876,0.42816,1.20211,0.000256505,0.000256505,0.000256505
5,2576.79,0.56452,0.28223,0.92485,0.87892,0.89108,0.91421,0.71767,0.72893,0.42176,1.20259,0.00022575,0.00022575,0.00022575
6,3090.39,0.55394,0.27169,0.9205,0.88581,0.88003,0.91134,0.716,0.73332,0.42857,1.20003,0.000189935,0.000189935,0.000189935
7,3603.41,0.54709,0.26726,0.9164,0.88796,0.87561,0.91028,0.71486,0.73843,0.42721,1.20091,0.0001515,0.0001515,0.0001515
8,4116.68,0.53843,0.26293,0.91157,0.89242,0.86998,0.9102,0.71498,0.7337,0.42552,1.19544,0.000113065,0.000113065,0.000113065
9,4629.94,0.52921,0.25773,0.90786,0.89294,0.87268,0.91023,0.71625,0.72147,0.41472,1.18905,7.725e-05,7.725e-05,7.725e-05
10,5143.45,0.52257,0.25455,0.90336,0.87658,0.88703,0.90951,0.71627,0.71928,0.40765,1.18677,4.64946e-05,4.64946e-05,4.64946e-05
